"id.site","hanski.lcp.grasslands.r300","field.size.avg.r300","lc.shannon.div.r300","edge.dens.r300","agrar.r300","cereal.r300","legume.r300","rape.r300","special.crop.r300","cult.grassland.r300","perm.grassland.r300","wetland.r300","mire.r300","heathland.r300","margin.r300","hedge.r300","grove.r300","forest.r300","tree.avenue.r300","urban.r300","water.r300","anthrop.herb.area.r300","hanski.lcp.grasslands.r600","field.size.avg.r600","lc.shannon.div.r600","edge.dens.r600","agrar.r600","cereal.r600","legume.r600","rape.r600","special.crop.r600","cult.grassland.r600","perm.grassland.r600","wetland.r600","mire.r600","heathland.r600","margin.r600","hedge.r600","grove.r600","forest.r600","tree.avenue.r600","urban.r600","water.r600","anthrop.herb.area.r600","hanski.lcp.grasslands.r1200","field.size.avg.r1200","lc.shannon.div.r1200","edge.dens.r1200","agrar.r1200","cereal.r1200","legume.r1200","rape.r1200","special.crop.r1200","cult.grassland.r1200","perm.grassland.r1200","wetland.r1200","mire.r1200","heathland.r1200","margin.r1200","hedge.r1200","grove.r1200","forest.r1200","tree.avenue.r1200","urban.r1200","water.r1200","anthrop.herb.area.r1200"
"N_KIR",4.5393,1.7115,1.2408,1096.8669,5.02,5.0222,0,0,0,0,52.12,0,0.5524,0,10.1141,0,0,0,0,2.7488,2.7799,8.2092,24.6205,1.374,1.3592,1111.4655,7.12,6.2583,0,0,0.8665,0.9859,61.92,0,0.7583,0,8.9207,0.7165,0,0,0,1.8624,2.2109,8.719,118.9661,1.3253,1.3925,992.04,14.52,14.2999,0,0,0.2166,0.9726,65.64,0,1.5181,0,6.9781,0.5314,0.5664,0.0462,0,2.8834,1.5655,4.035
"N_KRI",4.094,3.7395,1.5771,416.2958,39.62,22.3911,0,17.2241,0,0,41.66,0,0,0,1.1052,1.1424,0,13.4528,0,1.2888,0.1623,2.0368,9.9945,5.2733,1.7286,353.0217,34.85,27.9355,0,6.9099,0,1.1106,31.54,0,0,0,2.084,0.5898,0.0514,24.8262,0,1.1182,0.8722,0.6868,24.2604,4.9457,2.0203,295.257,42.74,35.8865,0.3237,3.7242,2.8011,1.6899,25.75,0.0359,0,0,1.618,0.4187,0.2168,19.0922,0,2.9755,0.9646,0.5368
"N_LUB",3.0788,5.107,1.4964,314.9964,49.56,49.5572,0,0,0,0,28.51,0,0,0,0,0,0.0753,9.1461,0,2.1164,7.4485,0.5231,8.08,4.3841,1.9186,335.4423,37.93,33.4797,1.1301,0,3.3234,0,34.68,0.8868,0,0,0,0.2843,0.4364,10.3128,0.096,2.0115,5.8663,1.8494,20.2599,4.6642,2.0536,297.3835,29.06,23.8132,0.6963,0,4.5552,0,27.83,0.8505,0,0,0.0522,0.1174,0.5743,23.4978,0.0279,8.2856,3.078,3.6199
"N_MAU",1.0656,2.176,1.9599,385.7604,43.06,42.5849,0,0,0.4714,0,11.46,0,6.1688,0,0.0435,0.0212,0.3494,25.0085,0.0212,1.4649,0,5.2167,1.5131,2.6771,2.067,328.6075,45.62,36.5434,1.7921,0,7.2815,0,12.15,0,1.5422,0,0.1446,0.0755,1.6088,23.2708,0.0367,1.586,0.2293,1.3607,3.5354,2.7361,2.3394,318.707,46.22,33.617,2.2713,0.4078,9.9257,0,12.05,0,0.3856,0.2412,0.125,0.1771,1.3401,21.7703,0.0612,6.1146,0.1689,3.0066
"N_MEC",1.7773,4.0282,1.1863,523.828,34.21,31.8982,0,0,2.3168,0,50.1,0,0,0,0.6907,0.5263,0,2.6466,0,2.7063,0,0,4.4928,4.1087,1.7229,417.6756,42.16,38.0475,0,0,4.1085,3.413,38.41,0,0,0,1.396,1.1701,0,2.9615,0.6543,1.3486,0,2.0199,15.7505,3.9603,1.8633,386.1916,44.67,35.6751,0,0,8.9917,1.5092,36.5,0,0,0,1.4356,0.7685,0.4028,5.323,0.2357,4.8286,0.1184,1.462
"N_MOO",1.5004,5.258,1.3172,246.6075,51.39,51.3919,0,0,0,0,16.23,0,0,0,0,0.2578,0,21.9683,0,2.584,0,4.3687,2.2742,4.5812,1.7132,231.1003,53.05,53.0498,0,0,0,0,13.69,0,0,0,0.0126,0.5142,0.4409,17.3452,0,3.6929,0.1129,10.4935,4.4871,6.0269,2.1926,223.6238,50.22,43.8463,0,3.3901,2.9842,0,12.78,0,0.1797,0.1459,0.0138,0.5685,0.6847,19.7771,0,5.7823,1.4831,7.7639
"N_NLG",3.6506,2.5222,1.4905,455.9322,28.3,12.1285,0,0,16.1726,5.1624,44.52,0,0,0,1.112,2.1638,0.2182,0.0272,0,2.9999,4.4082,7.3924,10.5964,3.5053,1.9246,396.6606,42.18,20.3973,0,0,21.787,12.7609,32.45,0,0,0,1.1086,0.8775,0.3547,0.0541,0.0128,2.4581,2.3639,2.687,25.163,3.4643,1.9996,333.0798,38.41,28.611,0.4459,0,9.3551,6.0092,35.53,0,0,0,0.9279,0.4594,0.5807,3.6735,0.1094,8.6611,1.6493,1.1319
"N_OCH",0,4.0264,1.6755,449.3904,19.03,3.7521,0,0,15.2818,0,0,0,0,0,0,0.5199,4.5731,19.6783,0.5199,16.0156,0,31.3415,0,4.2729,2.0428,406.2934,26.43,10.224,0,2.28,13.9287,0,0,0.0594,0,0,0,0.257,4.1617,25.384,0.257,9.921,0.9719,20.9938,0.0115,3.9016,2.3534,382.4609,31.56,17.9508,0.9792,2.1176,10.514,0,2.52,0.0265,0.552,0.1474,0.0169,0.249,1.2715,19.7562,0.1136,28.3254,1.0308,8.4074
"N_OLE",0.6005,3.629,1.6274,338.384,41.25,36.0658,0,0,5.1807,14.7307,9.47,0,0,0,0.7272,0.6246,0.6989,28.7918,0,0.3073,0,0.6016,2.0223,3.6611,1.6956,260.0364,40.18,35.8952,0.4037,0,3.8792,3.6827,6.4,0,0,0,0.4856,0.5103,0.7396,43.7436,0,1.2124,0,0.2419,4.2626,3.8554,1.5848,235.4546,23.69,19.1457,2.3752,0,2.1731,0.9207,13.91,0,0,0,0.6508,0.3228,0.2728,54.2395,0,1.8189,1e-04,1.0894
"N_PAN",6.9268,2.1796,1.2782,347.8653,1.28,0,0,0,1.2842,0,44.85,0,1.6283,0,0.4043,1.548,3.1421,15.2389,0,2.6565,0.8318,28.9057,22.0414,3.1892,1.8652,331.4617,10.34,7.7611,0,0,2.5782,0,36.63,0,6.2186,1.3694,0.1847,1.1207,1.8154,18.7882,0.2249,2.5288,4.0335,12.4985,34.4394,3.5875,2.2455,311.3921,28.84,20.9298,0,2.6993,5.2137,0,23.73,0,2.1264,0.6892,0.1258,1.904,1.2212,16.0306,0.0729,8.3114,3.8551,7.0891
